Brand_ID,CurrencyKey,UnitCost,SCD_EffectiveDate
ctoso0000273            ,7,5.2994,2012-10-01
ctoso0000274            ,7,5.2994,2012-10-01
ctoso0000275            ,7,5.9238,2012-10-01
ctoso0000276            ,7,8.8057,2012-10-01
ctoso0000277            ,7,8.8057,2012-10-01
ctoso0000278            ,7,8.8057,2012-10-01
ctoso0000279            ,7,8.8057,2012-10-01
ctoso0000280            ,7,24.4798,2012-10-01
ctoso0000281            ,7,24.4798,2012-10-01
ctoso0000282            ,7,24.4798,2012-10-01
ctoso0000283            ,7,24.4798,2012-10-01
ctoso0000284            ,7,28.5944,2012-10-01
ctoso0000285            ,7,28.5944,2012-10-01
ctoso0000286            ,7,28.5944,2012-10-01
ctoso0000287            ,7,28.5944,2012-10-01
ctoso0000288            ,7,39.2952,2012-10-01
ctoso0000289            ,7,39.2952,2012-10-01
ctoso0000290            ,7,39.2952,2012-10-01
ctoso0000291            ,7,39.2952,2012-10-01
ctoso0000292            ,7,47.8911,2012-10-01
ctoso0000293            ,7,47.8911,2012-10-01
ctoso0000294            ,7,47.8911,2012-10-01
ctoso0000295            ,7,47.8911,2012-10-01
ctoso0000301            ,7,65.6656,2012-10-01
ctoso0000302            ,7,65.6656,2012-10-01
ctoso0000303            ,7,65.6656,2012-10-01
ctoso0000304            ,7,65.6656,2012-10-01
ctoso0000305            ,7,65.6656,2012-10-01
ctoso0000306            ,7,38.0206,2012-10-01
ctoso0000307            ,7,38.0206,2012-10-01
ctoso0000308            ,7,38.0206,2012-10-01
ctoso0000309            ,7,79.3632,2012-10-01
ctoso0000310            ,7,79.3632,2012-10-01
ctoso0000311            ,7,79.3632,2012-10-01
ctoso0000312            ,7,79.3632,2012-10-01
wwim 0000001            ,7,61.1994,2012-10-01
wwim 0000002            ,7,61.1994,2012-10-01
wwim 0000003            ,7,61.1994,2012-10-01
wwim 0000004            ,7,73.6074,2012-10-01
wwim 0000005            ,7,73.6074,2012-10-01
wwim 0000006            ,7,73.6074,2012-10-01
wwim 0000007            ,7,73.6074,2012-10-01
wwim 0000008            ,7,76.22,2012-10-01
wwim 0000009            ,7,76.22,2012-10-01
wwim 0000010            ,7,76.22,2012-10-01
wwim 0000011            ,7,76.22,2012-10-01
wwim 0000012            ,7,61.8107,2012-10-01
wwim 0000013            ,7,61.8107,2012-10-01
wwim 0000014            ,7,61.8107,2012-10-01
wwim 0000015            ,7,61.8107,2012-10-01
ntrad0000001            ,7,10.4868,2012-10-01
ntrad0000002            ,7,10.4868,2012-10-01
ntrad0000003            ,7,10.4868,2012-10-01
ntrad0000004            ,7,10.4868,2012-10-01
ntrad0000005            ,7,17.6514,2012-10-01
ntrad0000006            ,7,17.6514,2012-10-01
ntrad0000007            ,7,17.6514,2012-10-01
ntrad0000008            ,7,17.6514,2012-10-01
ntrad0000009            ,7,13.5621,2012-10-01
ntrad0000010            ,7,13.969,2012-10-01
ntrad0000011            ,7,13.969,2012-10-01
ntrad0000012            ,7,13.969,2012-10-01
ntrad0000013            ,7,14.9296,2012-10-01
ntrad0000014            ,7,14.9296,2012-10-01
ntrad0000015            ,7,14.9296,2012-10-01
ntrad0000016            ,7,14.9296,2012-10-01
ntrad0000017            ,7,14.9296,2012-10-01
ntrad0000018            ,7,35.7357,2012-10-01
ntrad0000019            ,7,35.7357,2012-10-01
ntrad0000020            ,7,35.7357,2012-10-01
ntrad0000021            ,7,35.7357,2012-10-01
ntrad0000022            ,7,35.7357,2012-10-01
ntrad0000023            ,7,38.6191,2012-10-01
ntrad0000024            ,7,38.6191,2012-10-01
ntrad0000025            ,7,38.6191,2012-10-01
ntrad0000026            ,7,38.6191,2012-10-01
ntrad0000027            ,7,38.6191,2012-10-01
wwim 0000021            ,7,27.5057,2012-10-01
wwim 0000022            ,7,27.5057,2012-10-01
wwim 0000023            ,7,27.5057,2012-10-01
wwim 0000024            ,7,27.5057,2012-10-01
wwim 0000025            ,7,27.5057,2012-10-01
wwim 0000030            ,7,41.0983,2012-10-01
wwim 0000031            ,7,41.0983,2012-10-01
wwim 0000032            ,7,41.0983,2012-10-01
wwim 0000033            ,7,41.0983,2012-10-01
wwim 0000039            ,7,64.3755,2012-10-01
wwim 0000040            ,7,64.3755,2012-10-01
wwim 0000041            ,7,64.3755,2012-10-01
wwim 0000042            ,7,64.3755,2012-10-01
wwim 0000043            ,7,64.3755,2012-10-01
advwk0000001            ,7,69.3807,2012-10-01
advwk0000002            ,7,69.3807,2012-10-01
advwk0000003            ,7,69.3807,2012-10-01
advwk0000004            ,7,48.9676,2012-10-01
advwk0000005            ,7,48.9676,2012-10-01
advwk0000006            ,7,48.9676,2012-10-01
advwk0000007            ,7,103.0744,2012-10-01
advwk0000008            ,7,103.0744,2012-10-01
advwk0000009            ,7,103.0744,2012-10-01
advwk0000010            ,7,58.5257,2012-10-01
advwk0000011            ,7,58.5257,2012-10-01
advwk0000012            ,7,58.5257,2012-10-01
advwk0000013            ,7,58.5257,2012-10-01
advwk0000014            ,7,81.6286,2012-10-01
advwk0000015            ,7,81.6286,2012-10-01
advwk0000016            ,7,81.6286,2012-10-01
advwk0000017            ,7,81.6286,2012-10-01
advwk0000018            ,7,128.827,2012-10-01
advwk0000019            ,7,128.827,2012-10-01
advwk0000020            ,7,128.827,2012-10-01
advwk0000021            ,7,128.827,2012-10-01
advwk0000022            ,7,178.7016,2012-10-01
advwk0000023            ,7,178.7016,2012-10-01
advwk0000024            ,7,178.7016,2012-10-01
advwk0000025            ,7,178.7016,2012-10-01
advwk0000026            ,7,118.865,2012-10-01
advwk0000027            ,7,118.865,2012-10-01
advwk0000028            ,7,118.865,2012-10-01
advwk0000029            ,7,118.865,2012-10-01
advwk0000034            ,7,305.1287,2012-10-01
advwk0000035            ,7,305.1287,2012-10-01
advwk0000036            ,7,305.1287,2012-10-01
advwk0000037            ,7,305.1287,2012-10-01
advwk0000038            ,7,173.0075,2012-10-01
advwk0000039            ,7,173.0075,2012-10-01
advwk0000040            ,7,173.0075,2012-10-01
advwk0000041            ,7,173.0075,2012-10-01
advwk0000046            ,7,409.9963,2012-10-01
advwk0000047            ,7,409.9963,2012-10-01
advwk0000048            ,7,409.9963,2012-10-01
advwk0000049            ,7,409.9963,2012-10-01
advwk0000050            ,7,311.6089,2012-10-01
svido0000048            ,7,28.1622,2012-10-01
svido0000049            ,7,47.4866,2012-10-01
svido0000050            ,7,43.8042,2012-10-01
svido0000051            ,7,40.1299,2012-10-01
svido0000052            ,7,35.3859,2012-10-01
svido0000054            ,7,36.6876,2012-10-01
svido0000055            ,7,33.4507,2012-10-01
svido0000057            ,7,46.7181,2012-10-01
svido0000058            ,7,23.223,2012-10-01
svido0000059            ,7,26.9374,2012-10-01
svido0000061            ,7,28.1622,2012-10-01
svido0000062            ,7,47.4866,2012-10-01
svido0000063            ,7,43.8042,2012-10-01
svido0000064            ,7,40.1299,2012-10-01
svido0000065            ,7,35.3859,2012-10-01
svido0000067            ,7,36.6876,2012-10-01
svido0000068            ,7,33.4507,2012-10-01
svido0000070            ,7,46.7181,2012-10-01
svido0000071            ,7,23.223,2012-10-01
svido0000072            ,7,26.9374,2012-10-01
litwr0000217            ,7,214.0875,2012-10-01
litwr0000218            ,7,257.3179,2012-10-01
litwr0000219            ,7,122.0307,2012-10-01
litwr0000220            ,7,228.3802,2012-10-01
litwr0000221            ,7,110.151,2012-10-01
litwr0000222            ,7,122.3989,2012-10-01
litwr0000224            ,7,203.3622,2012-10-01
litwr0000225            ,7,196.2197,2012-10-01
litwr0000226            ,7,249.8232,2012-10-01
litwr0000227            ,7,253.6435,2012-10-01
litwr0000228            ,7,205.7404,2012-10-01
litwr0000230            ,7,214.0875,2012-10-01
litwr0000231            ,7,209.463,2012-10-01
litwr0000232            ,7,213.1454,2012-10-01
litwr0000233            ,7,214.0875,2012-10-01
